country,avgtemp,avghumidity,pop,density,medianage,urbanpop,hospibed,smokers,sexratio,gdp2019,healthperpop,fertility,totalcases
Afghanistan,6.22,56.93,38928346.00,60.00,18.00,25.00,0.50,,1.03,18734.00,4.73,5.12,273.00
Albania,13.95,69.90,2877797.00,105.00,36.00,63.00,2.90,29.40,0.98,15418.00,268.96,1.51,304.00
Algeria,19.57,61.72,43851044.00,18.00,29.00,73.00,1.90,,1.03,172781.00,23.51,2.70,986.00
Andorra,7.38,75.23,77265.00,164.00,45.00,88.00,2.50,32.50,1.06,91527.00,76994.76,1.40,439.00
Argentina,32.82,43.62,45195774.00,17.00,32.00,93.00,5.00,23.95,0.98,445469.00,30.76,2.26,1265.00
Armenia,7.10,58.50,2963243.00,104.00,35.00,63.00,4.20,26.90,0.94,13444.00,297.98,1.64,736.00
Netherlands,26.53,80.17,106766.00,593.00,41.00,44.00,1.20,,0.90,2903.00,402.75,1.83,60.00
Australia,25.78,64.23,25499884.00,3.00,38.00,86.00,3.80,14.90,0.99,1376255.00,176.16,1.77,5350.00
Austria,9.47,65.35,9006398.00,109.00,43.00,57.00,7.60,35.15,0.96,447718.00,570.48,1.47,11444.00
Azerbaijan,10.17,68.08,10139177.00,123.00,32.00,56.00,4.70,23.45,0.98,47171.00,117.47,1.89,443.00
Bahamas,23.27,76.55,393244.00,39.00,32.00,86.00,2.90,,0.96,12160.00,4320.47,1.94,24.00
Bahrain,20.37,63.52,1701575.00,2239.00,32.00,89.00,6.80,13.60,1.54,38184.00,1441.61,1.75,672.00
Bangladesh,30.28,42.35,164689383.00,1265.00,28.00,39.00,0.80,20.25,0.97,317465.00,0.53,2.17,61.00
Barbados,26.90,74.95,287375.00,668.00,40.00,31.00,5.80,7.00,0.94,5189.00,4294.04,1.68,46.00
Belarus,3.98,81.48,9449323.00,47.00,40.00,79.00,11.00,28.40,0.87,62572.00,114.82,1.48,351.00
Belgium,9.53,78.42,11589623.00,383.00,42.00,98.00,6.20,23.25,0.97,517609.00,412.61,1.78,16770.00
Benin,35.13,69.00,12123200.00,108.00,19.00,48.00,0.50,9.35,1.01,14374.00,6.93,4.77,13.00
Bhutan,8.87,73.68,771608.00,20.00,28.00,46.00,1.70,28.20,1.09,2842.00,371.95,1.90,5.00
Bolivia,20.30,70.70,11673021.00,11.00,26.00,69.00,1.10,23.80,0.98,42401.00,38.21,2.63,132.00
Bosnia and Herzegovina,7.97,81.72,3280819.00,64.00,43.00,52.00,3.50,38.60,0.95,20106.00,335.89,1.30,574.00
Brazil,25.82,81.68,212559417.00,25.00,33.00,88.00,2.20,15.30,0.97,1847020.00,6.55,1.75,8165.00
Brunei,29.18,81.75,437479.00,83.00,32.00,80.00,2.70,16.20,0.98,12455.00,4761.37,1.78,134.00
Bulgaria,9.30,73.53,6948445.00,64.00,45.00,76.00,6.80,35.30,0.95,66250.00,214.72,1.46,485.00
Burkina Faso,37.75,10.98,20903273.00,76.00,18.00,31.00,0.40,20.25,0.99,14593.00,4.59,5.71,288.00
Cambodia,35.45,55.52,16718965.00,95.00,26.00,24.00,0.80,23.45,0.94,26730.00,12.56,2.52,114.00
Cameroon,35.12,65.42,26545863.00,56.00,19.00,56.00,1.30,22.35,1.01,38632.00,6.14,4.64,306.00
Canada,-1.87,88.58,37742154.00,4.00,41.00,81.00,2.70,14.95,0.98,1730914.00,121.88,1.60,11283.00
Central African Republic,40.15,33.90,37742154.00,8.00,18.00,43.00,1.00,6.60,0.98,2321.00,0.85,4.30,8.00
Chile,25.87,36.43,19116201.00,26.00,35.00,85.00,2.20,38.00,0.97,294237.00,99.55,1.80,3737.00
China,9.90,39.03,1439323776.00,153.00,38.00,61.00,4.20,24.70,1.06,14140163.00,0.53,1.60,81620.00
Colombia,21.10,79.70,50882891.00,46.00,31.00,80.00,1.50,11.10,0.98,327895.00,16.76,2.00,1161.00
Congo (Brazzaville),33.08,69.27,5518087.00,16.00,19.00,70.00,1.60,,1.00,48994.00,6.16,4.39,22.00
Cote d'Ivoire,38.05,53.93,26378274.00,83.00,19.00,51.00,0.40,,1.02,44439.00,7.20,3.38,194.00
Croatia,11.88,66.60,4105267.00,73.00,44.00,58.00,5.60,36.45,0.93,60702.00,403.38,1.40,1079.00
Cuba,27.40,77.00,11326616.00,106.00,42.00,78.00,5.20,35.25,0.99,100023.00,11.57,1.71,233.00
Cyprus,15.42,71.12,1207359.00,131.00,37.00,67.00,3.40,,1.04,24280.00,1769.98,1.47,396.00
Czechia,7.88,72.53,10708981.00,139.00,43.00,74.00,6.50,,0.97,246953.00,230.65,1.45,3869.00
Denmark,6.23,81.68,5792202.00,137.00,42.00,88.00,2.50,17.00,0.97,347176.00,877.56,1.73,3672.00
Djibouti,27.28,70.67,988000.00,43.00,27.00,79.00,2.20,13.30,0.84,3166.00,148.79,2.31,49.00
Ecuador,19.27,73.25,17643054.00,71.00,28.00,63.00,1.50,8.65,0.99,107914.00,55.55,2.19,3163.00
Egypt,21.25,52.08,102334404.00,103.00,25.00,43.00,1.60,25.10,1.05,302256.00,4.84,3.47,865.00
Equatorial Guinea,28.67,78.60,1402985.00,50.00,22.00,73.00,2.10,,0.99,12142.00,563.09,4.39,15.00
Estonia,3.23,82.40,1326535.00,31.00,42.00,68.00,5.00,33.05,0.88,31038.00,1422.50,1.60,961.00
Eswatini,27.45,78.73,1160164.00,67.00,21.00,30.00,0.80,34.10,1.00,4657.00,542.16,2.69,9.00
Ethiopia,22.55,56.42,114963588.00,115.00,19.00,21.00,0.30,4.70,0.99,91166.00,0.57,4.99,35.00
Finland,2.80,81.25,5540720.00,18.00,43.00,86.00,4.40,20.85,0.97,269654.00,721.21,1.75,1615.00
France,11.27,72.95,65273511.00,119.00,42.00,82.00,6.50,27.70,0.96,2707074.00,69.58,2.07,59105.00
Gabon,29.50,77.43,2225734.00,9.00,23.00,87.00,6.30,,0.99,16877.00,216.11,4.39,21.00
Gambia,29.45,47.87,2416668.00,239.00,18.00,59.00,1.10,,0.98,1773.00,47.17,3.52,4.00
Georgia,9.98,58.98,3989167.00,57.00,38.00,58.00,2.60,31.70,0.92,15925.00,179.99,1.76,148.00
Germany,8.52,74.22,83783942.00,240.00,46.00,76.00,8.30,30.35,0.97,3863344.00,63.94,1.45,89126.00
Ghana,31.43,71.58,31072940.00,137.00,22.00,57.00,0.90,6.75,0.97,67077.00,8.01,4.00,204.00
Greece,14.93,66.37,10423054.00,81.00,46.00,85.00,4.30,42.65,0.95,214012.00,211.45,1.43,1613.00
